date,time,day_of_week,bottles_count,temp
2022-09-25,13:20,Sun,196758,31
25-09-2022,16:21,Sun,196792,29
26-09-2022,10:04,Mon,196975,28
26-09-2022,10:57,Mon,196983,32
26-09-2022,22:16,Mon,197092,29
27-09-2022,08:16,Tue,197161,30
27-09-2022,19:22,Tue,197248,28
28-09-2022,10:55,Wed,197368,30
28-09-2022,13:31,Wed,197379,33
28-09-2022,20:16,Wed,197435,28
29-09-2022,08:15,Thu,197508,28
29-09-2022,09:27,Thu,197573,27
29-09-2022,15:35,Thu,197568,30
29-09-2022,20:14,Thu,197609,29
30-09-2022,11:29,Fri,197724,26
30-09-2022,14:35,Fri,197750,26
30-09-2022,20:07,Fri,197800,25
01-10-2022,14:35,Sat,197894,28
01-10-2022,21:49,Sat,197935,28
01-10-2022,22:05,Sat,197938,28
02-10-2022,09:09,Sun,197979,28
02-10-2022,20:31,Sun,198069,29
02-10-2022,22:13,Sun,198097,29
03-10-2022,11:31,Mon,198157,33
03-10-2022,15:28,Mon,198176,31
03-10-2022,19:35,Mon,198216,29
04-10-2022,14:32,Tue,198348,30
04-10-2022,14:59,Tue,198350,30
04-10-2022,21:05,Tue,198407,29
04-10-2022,22:10,Tue,198416,29
05-10-2023,13:14,Wed,198497,33
05-10-2023,13:30,Wed,198499,33
05-10-2023,15:28,Wed,198519,32
06-10-2023,08:16,Thu,198633,28
06-10-2023,11:44,Thu,198656,32
06-10-2023,14:12,Thu,198672,33
06-10-2023,19:21,Thu,198707,29
06-10-2023,22:22,Thu,198743,28
07-10-2023,11:27,Fri,198827,29
07-10-2023,22:03,Fri,198909,27
08-10-2023,14:05,Sat,199017,30
08-10-2023,18:13,Sat,199052,29
08-10-2023,18:47,Sat,199053,29
08-10-2023,19:10,Sat,199057,29
08-10-2023,23:12,Sat,199085,28
09-10-2023,11:17,Sun,199168,27
09-10-2023,20:55,Sun,199253,25
09-10-2023,23:07,Sun,199292,24
10-10-2023,15:30,Mon,199383,26
10-10-2023,18:22,Mon,199403,26
10-10-2023,22:31,Mon,199443,24
11-10-2023,17:04,Tue,199584,25
12-10-2023,15:28,Wed,199792,27
12-10-2023,21:17,Wed,199852,25
13-10-2023,08:18,Thu,199895,25
13-10-2023,10:09,Thu,199910,26
13-10-2023,15:53,Thu,199957,29
13-10-2023,16:35,Thu,199961,28
13-10-2023,18:20,Thu,199974,28
14-10-2023,09:13,Fri,200086,25
14-10-2023,11:34,Fri,200100,29
15-10-2023,20:13,Sat,200324,29
16-10-2023,13:26,Sun,200410,30
17-10-2023,8.23,Mon,200565,27
17-10-2023,11:22,Mon,200594,28
17-10-2023,21:25,Mon,200679,27
17-10-2023,23:23,Mon,200702,26
18-10-2023,08:43,Tue,200755,23
19-10-2023,13:25,Wed,200957,25
19-10-2023,20:05,Wed,201000,24
20-10-2023,08:16,Thu,201087,24
20-10-2023,09:51,Thu,201099,25
20-10-2023,17:39,Thu,201160,26
20-10-2023,20:28,Thu,201188,25
21-10-2023,11:28,Fri,201291,29
22-10-2023,18:53,Sat,201522,28
22-10-2023,20:34,Sat,201542,27
24-10-2023,10:55,Mon,201809,29
24-10-2023,14:27,Mon,201827,29
25-10-2023,08:15,Tue,201966,25
25-10-2023,14:56,Tue,202010,27
26-10-2023,15:27,Wed,202187,25
27-10-2023,00:29,Thu,202266,23
27-10-2023,07:47,Thu,202301,24
27-10-2023,08:41,Thu,202309,27
27-10-2023,19:48,Thu,202383,25
27-10-2023,20:26,Thu,202388,25
29-10-2022,17:08,Sat,202731,28
29-10-2022,20:32,Sat,202761,25
30-10-2022,11:06,Sun,202839,28
30-10-2022,15:09,Sun,202868,29
31-10-2022,11:09,Mon,202994,28
31-10-2022,14:30,Mon,203015,27
31-10-2022,15:30,Mon,203024,27
01-11-2022,14:16,Tue,203205,21
01-11-2022,17:30,Tue,203226,19
01-11-2022,22:57,Tue,203264,20
02-11-2022,09:19,Wed,203316,19
02-11-2022,13:37,Wed,203371,20
02-11-2022,20:42,Wed,203435,19
03-11-2022,15:53,Thu,203557,23
03-11-2022,17:55,Thu,203566,23
03-11-2022,20:34,Thu,203591,23
04-11-2022,15:04,Fri,203723,23
05-11-2022,10:15,Sat,203831,20
06-11-2022,12:16,Sun,203979,22
07-11-2022,11:00,Mon,204107,21
07-11-2022,14:29,Mon,204173,23
07-11-2022,22:18,Mon,204237,21
08-11-2022,08:15,Tue,204286,21
09-11-2022,15:32,Wed,204521,25
09-11-2022,19:08,Wed,204537,24
09-11-2022,20:29,Wed,204557,24
10-11-2022,08:20,Thu,204654,26
10-11-2022,10:50,Thu,204644,27
11-11-2022,11:26,Fri,204850,28
11-11-2022,13:11,Fri,204858,27
11-11-2022,19:31,Fri,204905,26
12-11-2022,09:06,Sat,204989,26
12-11-2022,20:26,Sat,205077,25
13-11-2022,00:49,Sun,205117,23
13-11-2022,09:26,Sun,205152,27
13-11-2022,18:31,Sun,205227,25
14-11-2022,09:05,Mon,205331,25
14-11-2022,15:29,Mon,205371,27
14-11-2022,18:29,Mon,205392,26
14-11-2022,23:11,Mon,205447,24
15-11-2022,08:16,Tue,205509,25
15-11-2022,21:58,Tue,205608,25
16-11-2022,12:12,Wed,205728,28
16-11-2022,19:19,Wed,205773,24
16-11-2022,21:51,Wed,205788,24
17-11-2022,09:28,Thu,205867,27
17-11-2022,14:52,Thu,205905,26
17-11-2022,16:28,Thu,205922,25
18-11-2022,15:44,Fri,206110,25
19-11-2022,10:43,Sat,206238,26
19-11-2022,20:33,Sat,206324,25
20-11-2022,17:06,Sun,206441,26
22-11-2022,10:16,Tue,206761,26
22-11-2022,17:29,Tue,206827,24
22-11-2022,21:17,Tue,206867,24
23-11-2022,10:06,Wed,206969,25
23-11-2022,10:35,Wed,206977,25
23-11-2022,15:29,Wed,207014,24
24-11-2022,09:28,Thu,207139,23
24-11-2022,18:48,Thu,207216,23
24-11-2022,22:40,Thu,207243,22